zipcode,DATE_INSTALLED,num_playgrounds,year
19103,2006-01,1,2006
19103,2017-01,3,2017
19104,2006-01,14,2006
19104,2004-01,16,2004
19106,2006-01,3,2006
19111,2006-01,13,2006
19114,2012-01,2,2012
19114,2015-01,4,2015
19114,2019-01,6,2019
19115,2006-01,2,2006
19115,2014-01,4,2014
19115,2020-01,6,2020
19116,2006-01,2,2006
19116,2020-01,4,2020
19118,2006-01,2,2006
19119,2006-01,8,2006
19120,2006-01,12,2006
19121,2006-01,8,2006
19121,2013-01,10,2013
19121,2014-01,12,2014
19122,2006-01,8,2006
19122,2016-01,10,2016
19122,2020-01,12,2020
19123,2006-01,7,2006
19124,2006-01,12,2006
19124,2009-01,14,2009
19124,2017-01,17,2017
19124,2020-01,19,2020
19125,2006-01,5,2006
19125,2016-01,8,2016
19125,2018-01,10,2018
19125,2020-01,12,2020
19126,2006-01,2,2006
19127,2006-01,3,2006
19127,2019-03,5,2019
19128,2006-01,11,2006
19129,2006-01,2,2006
19129,2013-01,4,2013
19130,2006-01,2,2006
19130,2011-01,4,2011
19130,2012-01,6,2012
19130,2018-01,7,2018
19131,2006-01,11,2006
19131,2010-01,15,2010
19131,2014-01,16,2014
19132,2006-01,9,2006
19132,2010-01,11,2010
19132,2015-01,13,2015
19132,2016-01,15,2016
19132,2018-01,17,2018
19133,2006-01,7,2006
19133,2011-01,9,2011
19133,2013-01,11,2013
19133,2017-01,13,2017
19133,2020-01,15,2020
19134,2006-01,13,2006
19134,2012-01,15,2012
19134,2014-01,17,2014
19134,2016-01,19,2016
19135,2006-01,5,2006
19135,2008-01,7,2008
19135,2016-01,9,2016
19135,2018-11,11,2018
19135,2020-01,15,2020
19136,2006-01,12,2006
19136,2012-01,14,2012
19137,2015-01,2,2015
19138,2006-01,8,2006
19139,2006-01,10,2006
19139,2014-01,14,2014
19140,2006-01,16,2006
19141,2006-01,6,2006
19142,2006-01,2,2006
19142,2017-01,5,2017
19143,2006-01,16,2006
19143,2017-01,18,2017
19144,2006-01,14,2006
19144,2016-01,16,2016
19145,2006-01,11,2006
19145,2015-01,12,2015
19145,2018-01,14,2018
19145,2018-11,16,2018
19146,2006-01,5,2006
19146,2014-01,7,2014
19146,2017-01,9,2017
19146,2018-01,11,2018
19147,2006-01,16,2006
19147,2012-01,18,2012
19147,2016-01,19,2016
19147,2019-04,21,2019
19148,2006-01,10,2006
19148,2016-01,12,2016
19149,2006-01,4,2006
19149,2018-01,6,2018
19150,2006-01,2,2006
19150,2018-01,4,2018
19151,2006-01,4,2006
19151,2015-01,6,2015
19152,2006-01,2,2006
19153,2006-01,7,2006
19154,2006-01,4,2006
19154,2010-01,6,2010
19154,2012-01,8,2012
19154,2018-01,10,2018
